Año;Área;Régimen afiliación;Grupo de edad de la madre;Tipo de parto;# Nacimientos
2005;Antonio Nariño;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Bogotá;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;94
2005;Bosa;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;10
2005;Chapinero;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;3
2005;Ciudad Bolívar;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;12
2005;Engativá;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;5
2005;Fontibón;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;6
2005;Kennedy;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;7
2005;Localidad Desconocida;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;3
2005;Los Mártires;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Puente Aranda;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;2
2005;Rafael Uribe Uribe;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;9
2005;San Cristóbal;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;6
2005;Santa Fe;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;3
2005;Suba;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;13
2005;Tunjuelito;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;6
2005;Usme;CONTRIBUTIVO;10 A 14 AÑOS;1.ESPONTANEO;7
2005;Antonio Nariño;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Bogotá;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;72
2005;Bosa;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;8
2005;Chapinero;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Ciudad Bolívar;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;17
2005;Engativá;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;6
2005;Fontibón;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;4
2005;Kennedy;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;10
2005;Localidad Desconocida;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Los Mártires;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;3
2005;Rafael Uribe Uribe;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;3
2005;San Cristóbal;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;5
2005;Santa Fe;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Suba;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;7
2005;Teusaquillo;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Tunjuelito;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;1
2005;Usaquén;NO ASEGURADO;10 A 14 AÑOS;1.ESPONTANEO;1
